label,Eusocial,HD.all
Theretra_monteironis,solitary,DD
Hippotion_butleri,solitary,DD
Hippotion_griveaudi,solitary,DD
Hippotion_psammochroma,solitary,DD
Cyclidia_orcifera,solitary,DD
Agriophara_dyscapna,solitary,DD
Elachista_catagma,solitary,DD
Elachista_crumilla,solitary,DD
Elachista_elegans,solitary,DD
Polix_coloradella,solitary,DD
Stenoma_fenestra,solitary,DD
Antaeotricha_fascicularis,solitary,DD
Ethmia_nigroapicella,solitary,DD
Homaloxestis_briantiella,solitary,DD
Bathrosterra_macrotricha,solitary,DD
Aglaodes_chionoma,solitary,DD
Agonopterix_canadensis,solitary,DD
Mompha_epilobiella,solitary,DD
Garrha_paraderces,solitary,DD
Coleophora_glaucicolella,solitary,DD
Coleophora_galbulipennella,solitary,DD
Coleophora_spiraeella,solitary,DD
Coleophora_vacciniella,solitary,DD
Oecophora_eurrhoa,solitary,DD
Ironopolia_sobriella,solitary,DD
Scaeosopha_mitescens,solitary,DD
Cosmopterix_montisella,solitary,DD
Anatrachyntis_badia,solitary,DD
Labdia_chryselectra,solitary,DD
Macrobathra_philopsamma,solitary,DD
Macrobathra_heterozona,solitary,DD
Macrobathra_rubicundella,solitary,DD
Monochroa_tenebrella,solitary,DD
Metzneria_lappella,solitary,DD
Caryocolum_delphinatella,solitary,DD
Chionodes_occlusa,solitary,DD
Dichomeris_ochreoviridella,solitary,DD
Sphaleractis_parasticta,solitary,DD
Hypatima_excellentella,solitary,DD
Thiotricha_argyrea,solitary,DD
Hypatima_mediofasciana,solitary,DD
Ardozyga_deltodes,solitary,DD
Ardozyga_cephalota,solitary,DD
Ardozyga_micropa,solitary,DD
Ardozyga_semiographa,solitary,DD
Ardozyga_psephias,solitary,DD
Helcystogramma_rufescens,solitary,DD
Dichomeris_holomela,solitary,DD
Anisoplaca_bathropis,solitary,DD
Neoblastobasis_spiniharpella,solitary,DD
Neoblastobasis_biceratala,solitary,DD
Neoblastobasis_ximeniaella,solitary,DD
Xylodryadella_cryeranthes,solitary,DD
Autosticha_modicella,solitary,DD
Urodeta_hibernella,solitary,DD
Thudaca_obliquella,solitary,DD
Thudaca_haplonota,solitary,DD
Hypertropha_tortriciformis,solitary,DD
Oxythecta_loxomochla,solitary,DD
Palimmeces_percna,solitary,DD
Philobota_laxeuta,solitary,DD
Philobota_sordidella,solitary,DD
Philobota_monospila,solitary,DD
Isomoralla_curriculata,solitary,DD
Analcodes_escharias,solitary,DD
Guestia_chaetophora,solitary,DD
Barea_subviridella,solitary,DD
Scatochresis_perigrapta,solitary,DD
Eulechria_arctans,solitary,DD
Philonome_clemensella,solitary,DD
Prays_oleae,solitary,DD
Prays_citri,solitary,DD
Chionogenes_drosochlora,solitary,DD
Phyllonorycter_junoniella,solitary,DD
Phyllocnistis_labyrinthella,solitary,DD
Caloptilia_rhoifoliella,solitary,DD
Nemapogon_mesoplaca,solitary,DD
Napecoetes_belogramma,solitary,DD
Iphierga_stasiodes,solitary,DD
Prodoxus_gypsicolor,solitary,DD
Lampronia_corticella,solitary,DD
Acalyptris_minimella,solitary,DD
Trifurcula_montana,solitary,DD
Trifurcula_chretieni,solitary,DD
Trifurcula_lituanica,solitary,DD
Bucculatrix_bechsteinella,solitary,DD
Acrolophus_popeanella,solitary,DD
Hestiaula_rhodacris,solitary,DD
Hydropsyche_depravata,solitary,DD
Smicridea_albosignata,solitary,DD
Polymorphanisus_similis,solitary,DD
Chimarra_paracreagra,solitary,DD
Chimarra_bauerfielda,solitary,DD
Dolophilodes_major,solitary,DD
Psychomyia_morisitai,solitary,DD
Nyctiophylax_denningi,solitary,DD
Holocentropus_picicornis,solitary,DD
Polycentropus_rickeri,solitary,DD
Psilochorema_leptoharpax,solitary,DD
Xanthochorema_calcaratum,solitary,DD
Tiphobiosis_veniflex,solitary,DD
Limnephilus_castor,solitary,DD
Arctopora_pulchella,solitary,DD
Hydatophylax_argus,solitary,DD
Hydroptila_consimilis,solitary,DD
Nectopsyche_gracilis,solitary,DD
Triaenodes_perna,solitary,DD
Symphitoneuria_triangulata,solitary,DD
Triplectides_volda,solitary,DD
Caenota_plicata,solitary,DD
Chathamia_integripennis,solitary,DD
Oxyethira_albiceps,solitary,DD
Isoperla_bilineata,solitary,DD
Malirekus_hastatus,solitary,DD
Nemoura_flexuosa,solitary,DD
Aposthonia_borneensis,solitary,DD
Prosthecina_avita,solitary,DD
Cordulegaster_helladica,solitary,DD
Orthetrum_coerulescens,solitary,DD
Somatochlora_minor,solitary,DD
Lestes_dryas,solitary,DD
Archibasis_melanocyana,solitary,DD
Ischnura_kellicotti,solitary,DD
Ischnura_pumilio,solitary,DD
Enallagma_doubledayi,solitary,DD
Argia_oculata,solitary,DD
Palaiargia_charmosyna,solitary,DD
Paraphlebia_zoe,solitary,DD
Protolestes_kerckhoffae,solitary,DD
Rhinocypha_bisignata,solitary,DD
Palaemnema_domina,solitary,DD
Maccaffertium_pulchellum,solitary,DD
Afghanurus_flowersi,solitary,DD
Isonychia_bicolor,solitary,DD
Ameletus_celer,solitary,DD
Ephoron_leukon,solitary,DD
Thraulus_gopalani,solitary,DD
Ephemera_strigata,solitary,DD
Caenis_martae,solitary,DD
Takobia_yixiani,solitary,DD
Acentrella_nadineae,solitary,DD
Takobia_yoshinensis,solitary,DD
Denhama_austrocarinata,solitary,DD
Pseudocreobotra_occellata,solitary,DD
Bimantis_malaccana,solitary,DD
Leptomantella_albella,solitary,DD
Pericapritermes_nigerianus,eusocial,DD
Nasutitermes_corniger,eusocial,DD
Aptera_munda,solitary,DD
Phortioeca_nimbata,solitary,DD
Periplaneta_americana,solitary,DD
Polyzosteria_virridissima,solitary,DD
Periplaneta_brunnea,solitary,DD
Diabolocatantops_pinguis,solitary,DD
Sinopodisma_houshana,solitary,DD
Bradynotes_obesa,solitary,DD
Sphingonotus_candidus,solitary,DD
Trimerotropis_melanoptera,solitary,DD
Chrysochraon_dispar,solitary,DD
Chorthippus_ferdinandi,solitary,DD
Myrmeleotettix_antennatus,solitary,DD
Omocestus_haemorrhoidalis,solitary,DD
Oxya_fuscovittata,solitary,DD
Haplotropis_brunneriana,solitary,DD
Parepistaurus_pygmaeus,solitary,DD
Velarifictorus_flavifrons,solitary,DD
Tarragoilus_diuturnus,solitary,DD
Chortoscirtes_pseudomeruensis,solitary,DD
Teratura_geniculata,solitary,DD
Isophya_altaica,solitary,DD
Saga_ephippigera,solitary,DD
Geomydoecus_wernecki,solitary,DD
Liposcelis_bostrychophila,solitary,DD
Velia_saulii,solitary,DD
Dieuches_leucoceras,solitary,DD
Tropidothorax_leucopterus,solitary,DD
Arocatus_aenescens,solitary,DD
Orsillus_depressus,solitary,DD
Laryngodus_luteomaculatus,solitary,DD
Paromius_exiguus,solitary,DD
Zicca_annulata,solitary,DD
Aufeius_impressicollis,solitary,DD
Menecles_insertus,solitary,DD
Codophila_remota,solitary,DD
Halys_dentatus,solitary,DD
Chlorochroa_uhleri,solitary,DD
Erthesina_acuminata,solitary,DD
Microporus_obliquus,solitary,DD
Aradus_caucasicus,solitary,DD
Empicoris_orthoneuron,solitary,DD
Lyctocoris_beneficus,solitary,DD
Closterotomus_norwegicus,solitary,DD
Orthops_scutellatus,solitary,DD
Lygocoris_inconspicuus,solitary,DD
Scalponotatus_maturus,solitary,DD
Ilnacorella_argentata,solitary,DD
Orthotylus_flavosparsus,solitary,DD
Chlamydatus_saltitans,solitary,DD
Plagiognathus_emarginatae,solitary,DD
Plesiodema_pinetella,solitary,DD
Pilophorus_erraticus,solitary,DD
Pilophorus_gracilis,solitary,DD
Erythroneura_concisa,solitary,DD
Typhlocyba_niobe,solitary,DD
Scaphoideus_cylindratus,solitary,DD
Cosmotettix_beirnei,solitary,DD
Sorhoanus_uhleri,solitary,DD
Linacephalus_foveolatus,solitary,DD
Lystridea_uhleri,solitary,DD
Rugosana_querci,solitary,DD
Tylopelta_gibbera,solitary,DD
Neotibicen_superbus,solitary,DD
Neotibicen_pronotalis,solitary,DD
Okanagana_magnifica,solitary,DD
Gudanga_pterolongata,solitary,DD
Yunnana_vera,solitary,DD
Philaenus_spumarius,solitary,DD
Neophilaenus_lineatus,solitary,DD
Hemiodoecus_leai,solitary,DD
Patara_vanduzeei,solitary,DD
Akotropis_fumata,solitary,DD
Prociphilus_caryae,solitary,DD
Nipponaphis_coreana,solitary,DD
Ceratovacuna_lanigera,eusocial,DD
Metanipponaphis_lithocarpicola,solitary,DD
Crypturaphis_grassii,solitary,DD
Hyperomyzus_pallidus,solitary,DD
Eomacrosiphon_nigromaculosum,solitary,DD
Megoura_lespedezae,solitary,DD
Uroleucon_fuchuense,solitary,DD
Uroleucon_nigrocampanulae,solitary,DD
Metopeurum_fuscoviride,solitary,DD
Myzus_ligustri,solitary,DD
Capitophorus_hudsonicus,solitary,DD
Aphis_madderae,solitary,DD
Peltaphis_hottesi,solitary,DD
Myzocallis_walshii,solitary,DD
Schoutedenia_emblica,solitary,DD
Cervaphis_echinata,solitary,DD
Aphidounguis_mali,solitary,DD
Apiomorpha_sessilis,solitary,HD
Heliococcus_kurilensis,solitary,DD
Paracoccus_burnerae,solitary,DD
Palaealeurodicus_machili,solitary,DD
Baeopelma_foersteri,solitary,DD
Bactrothrips_quadrituberculatus,solitary,HD
Kladothrips_habrus,eusocial,HD
