"label","genus","species","order","family","sociality","haplodiploidy","HD.arrhenotoky","HD.all","Eusocial","Eusocial.strict","Eus.strict.koos.gawne"
"Mesopsocus_laticeps","Mesopsocus","laticeps","Psocodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Philotarsus_picicornis","Philotarsus","picicornis","Psocodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Ectopsocidae_GMHGA41113_BD00676471","Ectopsocidae","GMHGA41113_BD00676471","Psocodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Mesopsocidae_GMHLN17715_BD00880966","Mesopsocidae","GMHLN17715_BD00880966","Psocodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Ectopsocidae_GMHML12016_BD00330499","Ectopsocidae","GMHML12016_BD00330499","Psocodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Mesopsocidae_VAQTB08311_BD00814857","Mesopsocidae","VAQTB08311_BD00814857","Psocodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Elipsocidae_GMMBE21716_BD00375796","Elipsocidae","GMMBE21716_BD00375796","Psocodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Amphigerontia_contaminata","Amphigerontia","contaminata","Psocodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Psococerastis_albimaculata","Psococerastis","albimaculata","Psocodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Archipsocidae_GMMAQ15415_BD001025061","Archipsocidae","GMMAQ15415_BD001025061","Psocodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Archipsocidae_GMHMP05115_BD00835053","Archipsocidae","GMHMP05115_BD00835053","Psocodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Liposcelis_JIAAH19416_BD00138518","Liposcelis","JIAAH19416_BD00138518","Psocodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Liposcelis_corrodens","Liposcelis","corrodens","Psocodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Liposcelis_tricolor","Liposcelis","tricolor","Psocodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Liposcelis_mendax","Liposcelis","mendax","Psocodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Liposcelis_pearmani","Liposcelis","pearmani","Psocodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Liposcelis_GMCVI49116_MG381362","Liposcelis","GMCVI49116_MG381362","Psocodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Liposcelis_rufa","Liposcelis","rufa","Psocodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Liposcelis_decolor","Liposcelis","decolor","Psocodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Liposcelis_brunnea","Liposcelis","brunnea","Psocodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Embidopsocus_needhami","Embidopsocus","needhami","Psocodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Amphientomidae_GMHDL26413_BD00177406","Amphientomidae","GMHDL26413_BD00177406","Psocodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Amphientomidae_GMHKM18615_BD00850544","Amphientomidae","GMHKM18615_BD00850544","Psocodea","","solitary","diploid","DD","DD","solitary","solitary","solitary"
