"label","genus","species","order","family","sociality","haplodiploidy","HD.arrhenotoky","HD.all","Eusocial","Eusocial.strict","Eus.strict.koos.gawne"
"Leptophlebiidae_PNGEP00910_BD00114290","Leptophlebiidae","PNGEP00910_BD00114290","Ephemeroptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Thraulodes_sp_gmycM77_KR134801","Thraulodes","sp_gmycM77_KR134801","Ephemeroptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Choroterpes_JMW1_BD0094622","Choroterpes","JMW1_BD0094622","Ephemeroptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Notophlebia_ganeshi","Notophlebia","ganeshi","Ephemeroptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Neochoroterpes_oklahoma","Neochoroterpes","oklahoma","Ephemeroptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Nousia_sp_AV1_AM_2013_KC348595","Nousia","sp_AV1_AM_2013_KC348595","Ephemeroptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Nathanella_saraswathiae","Nathanella","saraswathiae","Ephemeroptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Isonychia_intermedia","Isonychia","intermedia","Ephemeroptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Isonychia_tusculanensis","Isonychia","tusculanensis","Ephemeroptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Parafronurus_youi","Parafronurus","youi","Ephemeroptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Hexagenia_rigida","Hexagenia","rigida","Ephemeroptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Potamanthus_tongitibius","Potamanthus","tongitibius","Ephemeroptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Pentagenia_vittigera","Pentagenia","vittigera","Ephemeroptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Siphlonurus_sp_MT_2014_KM244684","Siphlonurus","sp_MT_2014_KM244684","Ephemeroptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Siphluriscus_chinensis","Siphluriscus","chinensis","Ephemeroptera","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Aphylla_williamsoni","Aphylla","williamsoni","Odonata","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Aeshnidae_ODNBB44112_BD00678087","Aeshnidae","ODNBB44112_BD00678087","Odonata","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Leptogomphus_gestroi","Leptogomphus","gestroi","Odonata","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Asiagomphus_coreanus","Asiagomphus","coreanus","Odonata","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Orthetrum_umbratum","Orthetrum","umbratum","Odonata","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Brachythemis_contaminata","Brachythemis","contaminata","Odonata","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Somatochlora_graeseri","Somatochlora","graeseri","Odonata","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Somatochlora_kennedyi","Somatochlora","kennedyi","Odonata","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Cordulia_aenea","Cordulia","aenea","Odonata","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Epiophlebia_superstes","Epiophlebia","superstes","Odonata","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Palaiargia_charmosyna","Palaiargia","charmosyna","Odonata","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Coeliccia_borneensis","Coeliccia","borneensis","Odonata","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Risiocnemis_erythrura","Risiocnemis","erythrura","Odonata","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Platycnemis_phyllopoda","Platycnemis","phyllopoda","Odonata","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Arabicnemis_caerulea","Arabicnemis","caerulea","Odonata","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Ischnura_RF1048_AB708513","Ischnura","RF1048_AB708513","Odonata","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Coryphagrion_grandis","Coryphagrion","grandis","Odonata","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Anisopleura_furcata","Anisopleura","furcata","Odonata","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Vestalis_melania","Vestalis","melania","Odonata","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Vestalis_smaragdina","Vestalis","smaragdina","Odonata","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Mnais_mneme","Mnais","mneme","Odonata","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Anelpistina_puertoricensis","Anelpistina","puertoricensis","Zygentoma","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Anelpistina_negreai","Anelpistina","negreai","Zygentoma","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Cubacubana_asymmetrica","Cubacubana","asymmetrica","Zygentoma","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Atelura_formicaria","Atelura","formicaria","Zygentoma","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Anelpistina_boneti","Anelpistina","boneti","Zygentoma","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Lepismatidae_sp_BOLD_2016_KR141905","Lepismatidae","sp_BOLD_2016_KR141905","Zygentoma","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Lepismatidae_JSTW01212_BD00770145","Lepismatidae","JSTW01212_BD00770145","Zygentoma","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Tricholepidion_gertschi","Tricholepidion","gertschi","Zygentoma","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Pedetontus_sp_BOLD_AAV1531_KM532354","Pedetontus","sp_BOLD_AAV1531_KM532354","Archaeognatha","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Pedetontinus_yinae","Pedetontinus","yinae","Archaeognatha","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Songmachilis_xinxiangensis","Songmachilis","xinxiangensis","Archaeognatha","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Trigoniophthalmus_alternatus","Trigoniophthalmus","alternatus","Archaeognatha","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Machilinus_NGNAS06414_KR147632","Machilinus","NGNAS06414_KR147632","Archaeognatha","","solitary","diploid","DD","DD","solitary","solitary","solitary"
"Meinertellidae_GMGSU06213_BD00883155","Meinertellidae","GMGSU06213_BD00883155","Archaeognatha","","solitary","diploid","DD","DD","solitary","solitary","solitary"
